event,game,delta_lead,delta_second,delta_third,delta_fourth,delta_backend_zeroes,delta_zeroes_hammer,delta_zeroes_steal,delta_ends_hammer,ends_remaining,team_a_hammer,LSFE_a,is_even_end,a_margin,a_win_game
2026 Montana's Brier,41867b95,1,-8,1,-1,0,-1,3,-1,9,0,0,0,-2,0
2026 Montana's Brier,41867b95,0,2,-4,-4,1,1,0,0,8,1,0,1,-2,0
2026 Montana's Brier,41867b95,-1,-1,-3,0,0,0,0,1,7,1,0,0,1,0
2026 Montana's Brier,41867b95,-2,-1,0,-6,1,0,1,0,6,0,0,1,-3,0
2026 Montana's Brier,41867b95,-2,-3,-1,-8,2,2,0,1,5,1,0,0,-2,0
2026 Montana's Brier,41867b95,1,-1,0,0,0,0,0,2,4,1,0,1,0,0
2026 Montana's Brier,41867b95,-1,0,-2,-1,0,0,0,3,3,1,0,0,1,0
2026 Montana's Brier,41867b95,-4,0,-4,-1,1,0,2,2,2,0,0,1,-2,0
2026 Montana's Brier,31834c3b,-2,-4,5,0,-1,1,-1,1,9,1,1,0,1,0
2026 Montana's Brier,31834c3b,0,-1,4,-2,1,0,1,0,8,0,1,1,-3,0
2026 Montana's Brier,31834c3b,-1,-3,0,1,0,0,0,1,7,1,1,0,1,0
2026 Montana's Brier,31834c3b,-3,-6,3,-4,-1,-1,0,0,6,0,1,1,-2,0
2026 Montana's Brier,31834c3b,0,0,0,2,0,0,0,1,5,1,1,0,2,0
2026 Montana's Brier,31834c3b,0,-4,-3,2,0,0,1,0,4,0,1,1,0,0
2026 Montana's Brier,31834c3b,-1,-1,0,1,0,0,0,-1,3,0,1,0,-2,0
2026 Montana's Brier,31834c3b,0,1,1,-1,1,1,0,0,2,1,1,1,-1,0
2026 Montana's Brier,31834c3b,0,1,-2,-3,1,1,0,1,1,1,1,0,1,0
2026 Montana's Brier,719a3250,3,3,1,3,0,0,0,1,9,1,1,0,2,1
2026 Montana's Brier,719a3250,1,2,2,2,0,0,0,0,8,0,1,1,-1,1
2026 Montana's Brier,719a3250,-2,3,-4,-1,1,1,0,1,7,1,1,0,1,1
2026 Montana's Brier,719a3250,-1,1,7,0,-1,-1,0,0,6,0,1,1,-1,1
2026 Montana's Brier,719a3250,1,5,3,1,1,1,-2,1,5,1,1,0,2,1
2026 Montana's Brier,719a3250,0,1,3,0,0,0,0,0,4,0,1,1,-1,1
2026 Montana's Brier,719a3250,1,1,0,-4,1,1,0,1,3,1,1,0,1,1
2026 Montana's Brier,719a3250,1,2,0,3,0,0,0,0,2,0,1,1,-1,1
2026 Montana's Brier,719a3250,0,0,0,0,0,0,0,1,1,1,1,0,2,1
