event,game,delta_lead,delta_second,delta_third,delta_fourth,delta_backend_zeroes,ends_remaining,team_a_hammer,LSFE_a,is_even_end,a_margin,a_win_game
2026 Scotties Tournament of Hearts,3d0c0566,-3,-3,-2,1,0,9,1,1,0,1,0
2026 Scotties Tournament of Hearts,3d0c0566,-2,4,2,-2,1,8,0,1,1,-1,0
2026 Scotties Tournament of Hearts,3d0c0566,2,1,-5,-4,2,7,1,1,0,-1,0
2026 Scotties Tournament of Hearts,3d0c0566,1,2,4,-2,1,6,1,1,1,1,0
2026 Scotties Tournament of Hearts,3d0c0566,4,0,0,-4,0,5,0,1,0,-3,0
2026 Scotties Tournament of Hearts,3d0c0566,1,3,0,-2,0,4,1,1,1,0,0
2026 Scotties Tournament of Hearts,3d0c0566,-2,0,-7,0,1,3,1,1,0,0,0
2026 Scotties Tournament of Hearts,3d0c0566,1,5,4,1,0,2,1,1,1,3,0
2026 Scotties Tournament of Hearts,3d0c0566,0,2,4,0,0,1,0,1,0,-1,0
2026 Scotties Tournament of Hearts,3d0c0566,1,0,0,-4,1,0,1,1,1,-1,0
2026 Scotties Tournament of Hearts,ffed4f6f,0,2,-7,0,1,9,1,1,0,1,1
2026 Scotties Tournament of Hearts,ffed4f6f,0,3,0,2,0,8,0,1,1,-1,1
2026 Scotties Tournament of Hearts,ffed4f6f,2,0,-1,-2,1,7,1,1,0,0,1
2026 Scotties Tournament of Hearts,ffed4f6f,1,1,-1,2,0,6,1,1,1,1,1
2026 Scotties Tournament of Hearts,ffed4f6f,-2,0,0,0,0,5,0,1,0,0,1
2026 Scotties Tournament of Hearts,ffed4f6f,1,-1,4,4,-1,4,0,1,1,-1,1
2026 Scotties Tournament of Hearts,ffed4f6f,0,2,-1,4,0,3,1,1,0,4,1
2026 Scotties Tournament of Hearts,ffed4f6f,-1,2,2,0,0,2,0,1,1,-2,1
2026 Scotties Tournament of Hearts,ffed4f6f,0,-1,-2,-5,1,1,1,1,0,-3,1
2026 Scotties Tournament of Hearts,ffed4f6f,-2,3,-1,-2,0,0,1,1,1,3,1
2026 Scotties Tournament of Hearts,8ccb5d11,0,-1,0,1,0,9,1,1,0,1,1
